Type                | Verb (alias)    | Action                                                                                                                                                                                                                                                                                     | Synonyms to avoid
-------------------------------------------------------------------------------------------------------------------------------
Common Verbs        | Add (a)         | Adds a resource to a container, or attaches an item to another item. For example, the Add-Content cmdlet adds content to a file. This verb is paired with Remove.                                                                                                                          | Append, Attach, Concatenate, Insert
Common Verbs        | Clear (cl)      | Removes all the resources from a container but does not delete the container. For example, the Clear-Content cmdlet removes the contents of a file but does not delete the file.                                                                                                           | Flush, Erase, Release, Unmark, Unset, Nullify
Common Verbs        | Close (cs)      | Changes the state of a resource to make it inaccessible, unavailable, or unusable. This verb is paired with Open.                                                                                                                                                                          |
Common Verbs        | Copy (cp)       | Copies a resource to another name or to another container. For example, the Copy-Item cmdlet copies an item (such as a file) from one location in the data store to another location.                                                                                                      | Duplicate, Clone, Replicate, Sync
Common Verbs        | Enter (et)      | Specifies an action that allows the user to move into a resource. For example, the Enter-PSSession cmdlet places the user in an interactive session. This verb is paired with Exit.                                                                                                        | Push, Into
Common Verbs        | Exit (ex)       | Sets the current environment or context to the most recently used context. For example, the Exit-PSSession cmdlet places the user in the session that was used to start the interactive session. This verb is paired with Enter.                                                           | Pop, Out
Common Verbs        | Find (fd)       | Looks for an object in a container that is unknown, implied, optional, or specified.                                                                                                                                                                                                       | Search
Common Verbs        | Format (f)      | Arranges objects in a specified form or layout                                                                                                                                                                                                                                             |
Common Verbs        | Get (g)         | Specifies an action that retrieves a resource. This verb is paired with Set.                                                                                                                                                                                                               | Read, Open, Cat, Type, Dir, Obtain, Dump, Acquire, Examine, Find, Search
Common Verbs        | Hide (h)        | Makes a resource undetectable. For example, a cmdlet whose name includes the Hide verb might conceal a service from a user. This verb is paired with Show.                                                                                                                                 | Block
Common Verbs        | Join (j)        | Combines resources into one resource. For example, the Join-Path cmdlet combines a path with one of its child paths to create a single path. This verb is paired with Split.                                                                                                               | Combine, Unite, Connect, Associate
Common Verbs        | Lock (lk)       | Secures a resource. This verb is paired with Unlock.                                                                                                                                                                                                                                       | Restrict, Secure
Common Verbs        | Move (m)        | Moves a resource from one location to another. For example, the Move-Item cmdlet moves an item from one location in the data store to another location.                                                                                                                                    | Transfer, Name, Migrate
Common Verbs        | New (n)         | Creates a resource. (The Set verb can also be used when creating a resource that includes data, such as the Set-Variable cmdlet.)                                                                                                                                                          | Create, Generate, Build, Make, Allocate
Common Verbs        | Open (op)       | Changes the state of a resource to make it accessible, available, or usable. This verb is paired with Close.                                                                                                                                                                               |
Common Verbs        | Optimize (om)   | Increases the effectiveness of a resource.                                                                                                                                                                                                                                                 |
Common Verbs        | Pop (pop)       | Removes an item from the top of a stack. For example, the Pop-Location cmdlet changes the current location to the location that was most recently pushed onto the stack.                                                                                                                   |
Common Verbs        | Push (pu)       | Adds an item to the top of a stack. For example, the Push-Location cmdlet pushes the current location onto the stack.                                                                                                                                                                      |
Common Verbs        | Redo (re)       | Resets a resource to the state that was undone.                                                                                                                                                                                                                                            |
Common Verbs        | Remove (r)      | Deletes a resource from a container. For example, the Remove-Variable cmdlet deletes a variable and its value. This verb is paired with Add.                                                                                                                                               | Clear, Cut, Dispose, Discard, Erase
Common Verbs        | Rename (rn)     | Changes the name of a resource. For example, the Rename-Item cmdlet, which is used to access stored data, changes the name of an item in the data store.                                                                                                                                   | Change
Common Verbs        | Reset (rs)      | Sets a resource back to its original state.                                                                                                                                                                                                                                                |
Common Verbs        | Resize(rz)      | Changes the size of a resource.                                                                                                                                                                                                                                                            |
Common Verbs        | Search (sr)     | Creates a reference to a resource in a container.                                                                                                                                                                                                                                          | Find, Locate
Common Verbs        | Select (sc)     | Locates a resource in a container. For example, the Select-String cmdlet finds text in strings and files.                                                                                                                                                                                  | Find, Locate
Common Verbs        | Set (s)         | Replaces data on an existing resource or creates a resource that contains some data. For example, the Set-Date cmdlet changes the system time on the local computer. (The New verb can also be used to create a resource.) This verb is paired with Get.                                   | Write, Reset, Assign, Configure
Common Verbs        | Show (sh)       | Makes a resource visible to the user. This verb is paired with Hide.                                                                                                                                                                                                                       | Display, Produce
